"Parameter";"Id_Pro_or";"Id_Pro_new";"spi_mean";"spi_se_mean_sd";"spi_sd";"spi_2_5";"spi_25";"spi_50";"spi_75";"spi_97_5";"spi_n_eff";"spi_rhat";"spiper_mean";"spiper_se_mean_sd";"spiper_sd";"spiper_2_5";"spiper_25";"spiper_50";"spiper_75";"spiper_97_5";"spiper_n_eff";"spiper_rhat";"harmonic_mean"
"theta[77]";348;77;-0,93;0,01;0,34;-1,63;-1,16;-0,92;-0,70;-0,24;1041,19;1,00;-1,02;0,01;0,34;-1,69;-1,25;-1,03;-0,80;-0,34;713,81;1,00;"2,994"
"theta[78]";352;78;-1,57;0,01;0,29;-2,16;-1,77;-1,57;-1,37;-1,00;787,92;1,00;-1,41;0,01;0,28;-1,94;-1,60;-1,41;-1,23;-0,86;711,21;1,00;"2,541"
"theta[79]";356;79;0,48;0,01;0,36;-0,22;0,23;0,47;0,72;1,19;1327,51;1,00;0,37;0,01;0,37;-0,32;0,12;0,37;0,62;1,13;1123,67;1,00;"3,489"
"theta[80]";359;80;0,44;0,01;0,33;-0,20;0,21;0,44;0,67;1,10;1228,32;1,00;0,27;0,01;0,33;-0,37;0,04;0,28;0,51;0,91;885,88;1,00;"3,511"
"theta[81]";360;81;-0,92;0,01;0,45;-1,77;-1,22;-0,93;-0,62;-0,03;1435,16;1,00;-0,60;0,01;0,43;-1,44;-0,88;-0,60;-0,31;0,24;1231,55;1,00;"2,973"
"theta[82]";361;82;-0,14;0,01;0,42;-0,99;-0,42;-0,14;0,14;0,69;1661,63;1,00;-0,09;0,01;0,41;-0,92;-0,37;-0,09;0,17;0,72;1102,00;1,00;"2,932"
"theta[83]";368;83;-2,43;0,01;0,33;-3,08;-2,66;-2,43;-2,19;-1,76;1100,92;1,00;-2,06;0,01;0,33;-2,72;-2,28;-2,06;-1,83;-1,43;861,33;1,00;"2,152"
"theta[84]";374;84;0,22;0,01;0,46;-0,66;-0,09;0,23;0,54;1,13;1542,47;1,00;0,21;0,01;0,45;-0,67;-0,08;0,21;0,51;1,09;1262,36;1,00;"3,509"
"theta[85]";375;85;0,01;0,01;0,48;-0,91;-0,32;0,02;0,34;0,95;1759,32;1,00;0,02;0,01;0,47;-0,91;-0,28;0,03;0,34;0,97;1182,33;1,00;"3,424"
"theta[86]";379;86;1,39;0,01;0,38;0,65;1,13;1,38;1,64;2,13;1473,95;0,99;1,44;0,01;0,38;0,71;1,18;1,44;1,70;2,18;1178,62;1,00;"3,775"
"theta[87]";384;87;2,74;8,0e-03;0,44;1,90;2,44;2,73;3,04;3,64;2769,22;1,00;2,51;0,01;0,44;1,64;2,20;2,51;2,82;3,38;2068,43;1,00;"3,912"
"theta[88]";387;88;-1,73;0,01;0,46;-2,63;-2,05;-1,72;-1,42;-0,82;1507,71;1,00;-1,84;0,01;0,45;-2,71;-2,16;-1,84;-1,53;-0,92;1212,42;1,00;"2,482"
"theta[89]";389;89;1,21;0,01;0,47;0,28;0,89;1,22;1,52;2,15;2266,38;1,00;1,06;0,01;0,45;0,18;0,76;1,06;1,38;1,96;1652,14;1,00;"3,782"
"theta[90]";390;90;0,65;0,01;0,56;-0,44;0,28;0,65;1,02;1,78;1720,14;1,00;0,60;0,01;0,54;-0,45;0,22;0,60;0,97;1,67;1640,76;1,00;"3,452"
"theta[91]";392;91;0,39;0,01;0,48;-0,53;0,06;0,38;0,72;1,34;1862,32;1,00;0,43;0,01;0,47;-0,48;0,11;0,44;0,76;1,32;1350,50;1,00;"3,502"
"theta[92]";405;92;-1,73;0,01;0,39;-2,47;-2,01;-1,73;-1,47;-0,96;1231,44;1,00;-1,49;0,01;0,38;-2,22;-1,76;-1,49;-1,22;-0,72;882,40;1,00;"2,393"
"theta[93]";408;93;1,35;8,0e-03;0,30;0,75;1,15;1,35;1,56;1,95;1436,25;1,00;1,36;0,01;0,33;0,73;1,14;1,35;1,58;2,02;970,77;1,00;"3,732"
"theta[94]";414;94;-1,85;0,01;0,40;-2,63;-2,12;-1,85;-1,58;-1,05;1395,28;1,00;-1,81;0,01;0,38;-2,56;-2,06;-1,82;-1,56;-1,04;854,12;1,00;"2,35"
"theta[95]";416;95;-0,10;0,01;0,36;-0,82;-0,35;-0,10;0,14;0,62;918,82;1,00;-0,21;0,01;0,35;-0,92;-0,44;-0,22;0,02;0,47;785,98;1,00;"3,142"
"theta[96]";418;96;1,20;0,01;0,45;0,33;0,89;1,19;1,49;2,12;1809,19;0,99;1,22;0,01;0,45;0,33;0,91;1,22;1,53;2,14;1404,06;1,00;"3,772"
"theta[97]";419;97;0,08;8,0e-03;0,25;-0,41;-0,08;0,09;0,26;0,58;1000,74;1,00;0,17;0,01;0,24;-0,31;5,0e-03;0,17;0,34;0,68;676,10;1,01;"3,415"
"theta[98]";428;98;1,23;0,01;0,51;0,24;0,89;1,22;1,58;2,26;2372,93;0,99;1,14;0,01;0,50;0,14;0,80;1,15;1,49;2,14;1771,84;1,00;"3,726"
"theta[99]";430;99;0,25;0,01;0,32;-0,35;0,03;0,24;0,46;0,88;1096,37;1,00;0,18;0,01;0,31;-0,41;-0,02;0,18;0,39;0,82;862,37;1,00;"3,434"
"theta[100]";432;100;0,01;9,0e-03;0,27;-0,50;-0,17;0,01;0,19;0,55;956,71;1,00;-0,09;9,0e-03;0,26;-0,62;-0,28;-0,10;0,09;0,42;813,96;1,00;"3,222"
"theta[101]";433;101;0,76;0,01;0,43;-0,09;0,46;0,75;1,05;1,60;1897,05;1,00;0,52;0,01;0,44;-0,36;0,21;0,52;0,82;1,37;898,10;1,00;"3,688"
"theta[102]";435;102;-0,36;8,0e-03;0,23;-0,81;-0,51;-0,36;-0,20;0,10;825,51;1,00;-0,31;9,0e-03;0,23;-0,78;-0,46;-0,30;-0,15;0,14;709,56;1,01;"3,079"
"theta[103]";437;103;0,10;0,01;0,49;-0,85;-0,21;0,11;0,44;1,04;1440,86;1,00;0,12;0,01;0,48;-0,82;-0,19;0,12;0,44;1,08;1216,80;1,00;"3,419"
"theta[104]";444;104;0,53;0,01;0,41;-0,27;0,23;0,53;0,82;1,34;1620,45;1,00;0,46;0,01;0,40;-0,32;0,18;0,45;0,73;1,24;1009,15;1,00;"3,507"
"theta[105]";446;105;-1,22;9,0e-03;0,31;-1,80;-1,43;-1,22;-1,01;-0,61;1180,09;1,00;-1,07;0,01;0,29;-1,65;-1,26;-1,07;-0,87;-0,50;927,91;1,00;"2,496"
