"key_Student";"Student";"Professor";"Subject";"SelfPerf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
1018;38;6;14;3;4;4;4;4;4;4;4;3;4;3;3;3;4;4;3;2;4;3;3;3;1;2;4;3;"ENTUSIASMO INVITA A LA BUSQUEDA E INVESTIGACIÓN , RELACIONA TEMAS , ES PACIENTE";"LA ASIGNATURA  DEBERIA ESTAR DICTADA SOLO POR LA PROFESORA";0;515;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1019;39;6;14;4;2;2;3;2;3;2;3;2;4;2;3;1;2;2;2;3;3;3;4;4;1;1;3;4;"";"";0;516;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1020;40;6;14;4;2;3;4;3;3;3;4;3;4;3;4;1;3;3;3;2;4;2;3;4;1;1;3;4;"";"";0;516;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1021;41;6;14;4;4;2;4;3;3;3;2;3;3;2;3;2;2;3;3;4;2;3;3;3;1;1;3;2;"";"";0;533;39;6;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1023;42;6;14;3;3;3;4;4;4;4;3;2;4;3;1;2;3;4;3;2;4;3;4;4;1;1;4;3;"LA DISPOSICION DE LA PROFESORA PARA EXPLICAR FUE ADECUADA.";"";1;1708;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1024;43;6;14;3;3;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;1;1;4;3;"LA PASION QUE TRANSMITE";"EL TEMA ES MUY ESTENSO";1;1708;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1025;44;6;14;4;3;4;4;4;3;4;3;3;3;3;3;3;4;4;4;4;4;3;3;2;1;1;4;3;"";"";1;1709;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1026;45;6;14;4;3;4;4;4;4;4;4;3;4;4;4;2;4;4;3;3;3;2;2;2;1;2;3;3;"MUESTRA ENTUSIASMO AL DICTAR LAS CLASES.";"";1;1709;39;2;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1027;46;6;14;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;2;3;1;1;3;3;"";"";1;1714;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
1028;47;6;14;4;2;3;3;3;3;3;2;3;3;2;3;1;2;3;4;1;3;4;3;4;1;1;3;3;"ENTUSIASMO Y COMPROMISO";"PUNTUALIDAD";1;1715;39;3;1;0;78;1;0;0;"PLANTA";"15/9/1994 0:00:00";"ASOCIADO";"EXCLUSIVA";"ICN"
