"Student";"Subject";"Y_sub";"SelfPerf_su";"Item"
1132;103;3;4;1
1133;103;4;5;1
1134;103;2;4;1
1135;103;4;4;1
1136;103;4;4;1
1137;103;4;5;1
1138;107;2;4;1
1139;107;4;3;1
1140;107;4;3;1
1141;107;4;5;1
1142;107;4;5;1
1143;107;4;5;1
1144;107;4;5;1
1145;107;4;4;1
1146;107;4;4;1
1147;107;4;5;1
1148;107;4;5;1
1149;108;4;4;1
1150;108;3;3;1
1151;108;4;3;1
1152;108;4;4;1
1153;108;4;3;1
1154;108;3;4;1
1155;108;4;5;1
1156;108;4;4;1
1157;108;2;2;1
1158;108;4;4;1
1159;109;4;5;1
1160;109;4;4;1
1161;109;3;4;1
1162;109;4;4;1
1163;109;4;3;1
1164;109;4;4;1
1165;114;2;4;1
1166;114;3;5;1
1167;114;4;3;1
1168;114;2;4;1
1169;114;4;4;1
1170;114;4;4;1
1171;114;4;4;1
1172;114;2;4;1
1173;114;4;4;1
1174;120;4;5;1
1175;120;4;4;1
1176;120;1;4;1
1177;120;3;4;1
1178;120;3;3;1
1179;120;3;4;1
1180;120;4;4;1
1181;120;4;4;1
1182;120;3;4;1
1183;120;4;4;1
1184;120;4;4;1
1185;33;4;4;1
1186;33;2;5;1
1187;33;3;4;1
1188;33;4;4;1
1189;33;4;4;1
1190;33;2;4;1
1191;33;2;5;1
1192;33;4;5;1
1193;95;3;4;1
1194;95;2;3;1
1195;95;4;3;1
1196;95;4;4;1
1197;95;4;4;1
1198;95;4;4;1
1199;95;3;4;1
1200;95;2;4;1
1201;95;3;3;1
1202;95;4;3;1
1203;95;3;5;1
1204;95;4;3;1
1205;95;1;2;1
1206;95;3;3;1
1207;95;4;4;1
1208;13;1;4;1
1209;13;3;4;1
1210;13;3;4;1
1211;13;4;4;1
1212;13;4;4;1
1213;13;3;4;1
1214;13;3;4;1
1215;13;1;4;1
1216;13;3;4;1
1217;13;4;4;1
1218;13;4;4;1
1219;13;3;4;1
1220;13;1;4;1
1221;13;3;4;1
1222;13;3;4;1
1223;13;4;4;1
1224;13;4;4;1
1225;13;3;4;1
1226;16;4;5;1
1227;16;3;4;1
1228;16;3;4;1
1229;16;4;4;1
1230;16;4;4;1
1231;16;4;4;1
1232;16;3;5;1
1233;16;4;5;1
1234;25;4;4;1
1235;25;4;5;1
1236;25;4;4;1
1237;25;4;3;1
1238;25;4;4;1
1239;32;4;4;1
1240;32;4;3;1
1241;32;4;3;1
1242;32;4;4;1
1243;32;4;5;1
1244;32;4;5;1
1245;32;4;5;1
1246;32;4;4;1
1247;32;4;3;1
1248;32;4;4;1
1249;32;4;4;1
1250;32;3;4;1
1251;32;4;3;1
1252;32;4;3;1
1253;32;4;3;1
1254;32;4;4;1
1255;32;4;4;1
1256;32;4;5;1
1257;53;4;4;1
1258;53;4;4;1
1259;53;2;4;1
1260;53;2;4;1
1261;53;4;5;1
1262;53;4;3;1
1263;53;4;4;1
1264;53;2;4;1
1265;53;2;3;1
1266;53;2;4;1
1267;54;4;4;1
1268;54;2;4;1
1269;54;4;4;1
1270;54;4;4;1
1271;54;4;4;1
1272;54;4;4;1
1273;54;3;4;1
1274;54;4;4;1
1275;55;3;3;1
1276;55;4;3;1
1277;55;4;5;1
1278;55;3;3;1
1279;55;2;4;1
1280;55;4;4;1
1281;55;3;4;1
1282;55;2;2;1
1283;55;4;3;1
1284;55;3;3;1
1285;55;4;3;1
1286;55;4;4;1
1287;55;3;4;1
1288;71;4;4;1
1289;71;4;4;1
1290;71;3;4;1
1291;71;4;4;1
1292;71;4;4;1
1293;71;4;4;1
1294;71;4;4;1
1295;71;4;4;1
1296;71;4;4;1
1297;71;4;4;1
1298;71;4;4;1
1299;71;4;4;1
1300;71;2;4;1
1301;71;4;4;1
1302;71;3;4;1
1303;71;3;4;1
1304;88;4;4;1
1305;88;3;4;1
1306;88;4;3;1
1307;88;4;4;1
1308;88;2;4;1
1309;90;4;3;1
1310;90;3;4;1
1311;90;4;4;1
